animal	day	weight_g	delta
17	1	26.5	0
17	2	24.4	-0.07924528301886798
18	1	25.1	0
18	2	23.1	-0.0796812749003984
18	3	22.8	-0.0916334661354582
18	4	23.7	-0.05577689243027897
18	5	23.8	-0.05179282868525899
18	6	24.1	-0.0398406374501992
18	7	23.9	-0.047808764940239154
18	8	23.1	-0.0796812749003984
18	9	23.7	-0.05577689243027897
18	10	23	-0.08366533864541838
18	11	22.4	-0.10756972111553796
18	12	21.5	-0.14342629482071717
18	13	21.2	-0.15537848605577698
18	14	21.5	-0.14342629482071717
19	1	25	0
19	2	23.5	-0.06
19	3	22.4	-0.10400000000000005
19	4	23.1	-0.07599999999999994
19	5	24	-0.04
19	6	24.1	-0.03599999999999994
19	7	24.2	-0.03200000000000003
19	8	23.5	-0.06
19	9	24.6	-0.015999999999999945
19	10	24.4	-0.024000000000000056
19	11	23.2	-0.07200000000000002
19	12	22.3	-0.10799999999999997
19	13	22.3	-0.10799999999999997
19	14	21.6	-0.13599999999999995
19	15	21.4	-0.14400000000000004
20	1	26.200000000000003	0
20	2	23.6	-0.09923664122137409
20	3	24.9	-0.04961832061068718
20	4	24.4	-0.06870229007633603
20	5	24.9	-0.04961832061068718
20	6	25.3	-0.03435114503816802
20	7	25.5	-0.026717557251908504
20	8	24.7	-0.057251908396946695
20	9	24.8	-0.05343511450381687
20	10	24.5	-0.06488549618320621
20	11	24.6	-0.06106870229007638
20	12	23.2	-0.11450381679389325
20	13	23.3	-0.11068702290076343
20	14	23.9	-0.08778625954198489
20	15	22	-0.16030534351145048
21	1	21.2	0
21	2	20.2	-0.04716981132075472
21	3	20	-0.05660377358490563
21	4	21.2	0
21	5	21.9	0.03301886792452827
21	6	21.9	0.03301886792452827
21	7	21.1	-0.004716981132075371
21	8	20.4	-0.03773584905660381
21	9	21	-0.00943396226415091
21	10	20.6	-0.02830188679245273
21	11	19.8	-0.06603773584905653
21	12	19.4	-0.08490566037735853
21	13	17.5	-0.17452830188679241
21	14	17.8	-0.16037735849056597
21	15	18	-0.15094339622641506
22	1	25.5	0
22	2	23.8	-0.06666666666666664
22	3	23.9	-0.06274509803921574
22	4	24	-0.058823529411764705
22	5	25.4	-0.003921568627451036
22	6	25.3	-0.007843137254901933
22	7	24.8	-0.027450980392156835
22	8	24.299999999999997	-0.047058823529411875
22	9	24.4	-0.04313725490196084
22	10	24.5	-0.0392156862745098
22	11	23.1	-0.09411764705882347
22	12	22.5	-0.11764705882352941
22	13	21.9	-0.14117647058823535
22	14	21.8	-0.14509803921568626
23	1	22.9	0
23	2	20.8	-0.09170305676855886
23	3	20.6	-0.10043668122270731
23	4	21.2	-0.07423580786026199
23	5	21.4	-0.06550218340611354
23	6	21.9	-0.04366812227074236
23	7	21.2	-0.07423580786026199
23	8	20.6	-0.10043668122270731
23	9	21.7	-0.0524017467248908
23	10	21.5	-0.06113537117903924
23	11	20.5	-0.1048034934497816
23	12	20	-0.12663755458515277
23	13	19	-0.17030567685589515
23	14	19	-0.17030567685589515
24	1	23.1	0
24	2	21.7	-0.0606060606060607
24	3	21.5	-0.06926406926406932
24	4	22.700000000000003	-0.017316017316017254
24	5	22.6	-0.021645021645021644
24	6	23	-0.004329004329004391
24	7	22.6	-0.021645021645021644
24	8	22	-0.04761904761904768
24	9	22	-0.04761904761904768
24	10	21.9	-0.05194805194805207
24	11	21.8	-0.05627705627705631
24	12	21.4	-0.07359307359307371
24	13	20.7	-0.10389610389610399
24	14	20.1	-0.12987012987012986
24	15	19.8	-0.14285714285714288
25	1	25.3	0
25	2	22.3	-0.11857707509881422
25	3	22.700000000000003	-0.10276679841897224
25	4	24	-0.051383399209486195
25	5	25.2	-0.00395256916996053
25	6	25.2	-0.00395256916996053
25	7	25	-0.01185770750988145
25	8	23.8	-0.05928853754940711
25	9	23.9	-0.05533596837944672
25	10	23.9	-0.05533596837944672
25	11	23.9	-0.05533596837944672
25	12	24.5	-0.03162055335968382
25	13	22.1	-0.12648221343873514
25	14	21.9	-0.1343873517786562
26	1	25.5	0
26	2	24	-0.058823529411764705
26	3	24.9	-0.023529411764705938
26	4	23.1	-0.09411764705882347
26	5	23.5	-0.0784313725490196
26	6	24.2	-0.05098039215686277
26	7	23.1	-0.09411764705882347
26	8	23.8	-0.06666666666666664
26	9	24.1	-0.05490196078431367
26	10	22.9	-0.10196078431372554
26	11	22	-0.13725490196078433
26	12	22.6	-0.11372549019607837
26	13	22.1	-0.13333333333333328
26	14	21.9	-0.14117647058823535
27	1	24.6	0
27	2	23.6	-0.04065040650406504
27	3	23.8	-0.03252032520325206
27	4	24.4	-0.008130081300813123
27	5	24	-0.02439024390243908
27	6	23.7	-0.036585365853658625
27	7	23.1	-0.06097560975609756
27	8	22.2	-0.09756097560975618
27	9	23.6	-0.04065040650406504
27	10	22.8	-0.0731707317073171
27	11	22.6	-0.08130081300813008
27	12	22.5	-0.08536585365853663
27	13	21.5	-0.12601626016260167
27	14	21.6	-0.12195121951219512
28	1	25.4	0
28	2	23	-0.0944881889763779
28	3	23	-0.0944881889763779
28	4	23.3	-0.08267716535433063
28	5	23.8	-0.06299212598425188
28	6	24.4	-0.03937007874015748
28	7	23.8	-0.06299212598425188
28	8	23.6	-0.07086614173228335
28	9	24.4	-0.03937007874015748
28	10	22.700000000000003	-0.10629921259842504
28	11	20.8	-0.18110236220472434
28	12	20.5	-0.19291338582677162
28	13	20.7	-0.18503937007874013
28	14	21.5	-0.15354330708661412
29	1	25.7	0
29	2	23.6	-0.08171206225680926
29	3	23.9	-0.0700389105058366
29	4	25.2	-0.019455252918287938
29	5	25.6	-0.0038910505836575048
29	6	29.9	0.16342412451361865
29	7	26	0.01167315175097279
29	8	25.4	-0.01167315175097279
29	9	26.700000000000003	0.038910505836576015
29	10	25.5	-0.0077821011673151474
29	11	24	-0.06614785992217896
29	12	21.2	-0.17509727626459146
29	13	23.3	-0.09338521400778205
29	14	23.3	-0.09338521400778205
29	15	22.3	-0.13229571984435792
30	1	23.6	0
30	2	22.1	-0.0635593220338983
30	3	23.1	-0.0211864406779661
30	4	25.1	0.0635593220338983
30	5	22.3	-0.05508474576271189
30	6	22.4	-0.05084745762711876
30	7	22.4	-0.05084745762711876
30	8	21.6	-0.0847457627118644
30	9	21.9	-0.07203389830508486
30	10	22.2	-0.05932203389830517
30	11	21.1	-0.1059322033898305
30	12	24	0.01694915254237282
30	13	21	-0.11016949152542378
30	14	20.6	-0.1271186440677966
30	15	19.5	-0.17372881355932207
31	1	27.7	0
31	2	24.9	-0.10108303249097476
31	3	25.6	-0.07581227436823097
31	4	25.9	-0.06498194945848378
31	5	26.4	-0.046931407942238296
31	6	26.3	-0.05054151624548731
31	7	25.9	-0.06498194945848378
31	8	25.1	-0.09386281588447647
31	9	24.8	-0.10469314079422377
31	10	24.2	-0.1263537906137184
32	1	22.9	0
32	2	21.2	-0.07423580786026199
32	3	21.5	-0.06113537117903924
32	4	21.7	-0.0524017467248908
32	5	21.4	-0.06550218340611354
32	6	22	-0.03930131004366806
32	7	21.4	-0.06550218340611354
32	8	21.2	-0.07423580786026199
32	9	21.5	-0.06113537117903924
32	10	22.1	-0.03493449781659377
32	11	20.6	-0.10043668122270731
32	12	19.8	-0.13537117903930124
32	13	19.7	-0.1397379912663755
32	14	19.4	-0.15283842794759828
